Ri,Zj,Rhoij
-10.000000,-20.000000,0.000000
-10.000000,-19.365079,0.000000
-10.000000,-18.730159,0.000000
-10.000000,-18.095238,0.000000
-10.000000,-17.460317,0.000000
-10.000000,-16.825397,0.000000
-10.000000,-16.190476,0.000000
-10.000000,-15.555556,0.000000
-10.000000,-14.920635,0.000000
-10.000000,-14.285714,0.000000
-10.000000,-13.650794,0.000000
-10.000000,-13.015873,0.000000
-10.000000,-12.380952,0.000000
-10.000000,-11.746032,0.000000
-10.000000,-11.111111,0.000000
-10.000000,-10.476190,0.000000
-10.000000,-9.841270,0.000000
-10.000000,-9.206349,0.000000
-10.000000,-8.571429,0.000000
-10.000000,-7.936508,0.000000
-10.000000,-7.301587,0.000001
-10.000000,-6.666667,0.000002
-10.000000,-6.031746,0.000004
-10.000000,-5.396825,0.000009
-10.000000,-4.761905,0.000016
-10.000000,-4.126984,0.000027
-10.000000,-3.492063,0.000042
-10.000000,-2.857143,0.000062
-10.000000,-2.222222,0.000085
-10.000000,-1.587302,0.000106
-10.000000,-0.952381,0.000122
-10.000000,-0.317460,0.000129
-10.000000,0.317460,0.000125
-10.000000,0.952381,0.000111
-10.000000,1.587302,0.000092
-10.000000,2.222222,0.000070
-10.000000,2.857143,0.000049
-10.000000,3.492063,0.000032
-10.000000,4.126984,0.000020
-10.000000,4.761905,0.000012
-10.000000,5.396825,0.000006
-10.000000,6.031746,0.000003
-10.000000,6.666667,0.000002
-10.000000,7.301587,0.000001
-10.000000,7.936508,0.000000
-10.000000,8.571429,0.000000
-10.000000,9.206349,0.000000
-10.000000,9.841270,0.000000
-10.000000,10.476190,0.000000
-10.000000,11.111111,0.000000
-10.000000,11.746032,0.000000
-10.000000,12.380952,0.000000
-10.000000,13.015873,0.000000
-10.000000,13.650794,0.000000
-10.000000,14.285714,0.000000
-10.000000,14.920635,0.000000
-10.000000,15.555556,0.000000
-10.000000,16.190476,0.000000
-10.000000,16.825397,0.000000
-10.000000,17.460317,0.000000
-10.000000,18.095238,0.000000
-10.000000,18.730159,0.000000
-10.000000,19.365079,0.000000
-10.000000,20.000000,0.000000
-9.354839,-20.000000,0.000000
-9.354839,-19.365079,0.000000
-9.354839,-18.730159,0.000000
-9.354839,-18.095238,0.000000
-9.354839,-17.460317,0.000000
-9.354839,-16.825397,0.000000
-9.354839,-16.190476,0.000000
-9.354839,-15.555556,0.000000
-9.354839,-14.920635,0.000000
-9.354839,-14.285714,0.000000
